code,dataset,field,code_type,description,group,subgroup,flag1,flag2
S00,hes_apc,diag,icd10,superficial injury of head,injuries,injuries,emergency_admission,first_episode_only
S01,hes_apc,diag,icd10,open wound of head,injuries,injuries,emergency_admission,first_episode_only
S02,hes_apc,diag,icd10,fracture of skull and facial bones,injuries,injuries,emergency_admission,first_episode_only
S03,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of head,injuries,injuries,emergency_admission,first_episode_only
S04,hes_apc,diag,icd10,injury of cranial nerves,injuries,injuries,emergency_admission,first_episode_only
S05,hes_apc,diag,icd10,injury of eye and orbit,injuries,injuries,emergency_admission,first_episode_only
S06,hes_apc,diag,icd10,intracranial injury,injuries,injuries,emergency_admission,first_episode_only
S07,hes_apc,diag,icd10,crushing injury of head,injuries,injuries,emergency_admission,first_episode_only
S08,hes_apc,diag,icd10,traumatic amputation of part of head,injuries,injuries,emergency_admission,first_episode_only
S09,hes_apc,diag,icd10,other and unspecified injuries of head,injuries,injuries,emergency_admission,first_episode_only
S10,hes_apc,diag,icd10,superficial injury of neck,injuries,injuries,emergency_admission,first_episode_only
S11,hes_apc,diag,icd10,open wound of neck,injuries,injuries,emergency_admission,first_episode_only
S12,hes_apc,diag,icd10,fracture of neck,injuries,injuries,emergency_admission,first_episode_only
S13,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments at neck level,injuries,injuries,emergency_admission,first_episode_only
S14,hes_apc,diag,icd10,injury of nerves and spinal cord at neck level,injuries,injuries,emergency_admission,first_episode_only
S15,hes_apc,diag,icd10,injury of blood vessels at neck level,injuries,injuries,emergency_admission,first_episode_only
S16,hes_apc,diag,icd10,injury of muscle and tendon at neck level,injuries,injuries,emergency_admission,first_episode_only
S17,hes_apc,diag,icd10,crushing injury of neck,injuries,injuries,emergency_admission,first_episode_only
S18,hes_apc,diag,icd10,traumatic amputation at neck level,injuries,injuries,emergency_admission,first_episode_only
S19,hes_apc,diag,icd10,other and unspecified injuries of neck,injuries,injuries,emergency_admission,first_episode_only
S20,hes_apc,diag,icd10,superficial injury of thorax,injuries,injuries,emergency_admission,first_episode_only
S21,hes_apc,diag,icd10,open wound of thorax,injuries,injuries,emergency_admission,first_episode_only
S22,hes_apc,diag,icd10,fracture of rib(s) sternum and thoracic spine,injuries,injuries,emergency_admission,first_episode_only
S23,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of thorax,injuries,injuries,emergency_admission,first_episode_only
S24,hes_apc,diag,icd10,injury of nerves and spinal cord at thorax level,injuries,injuries,emergency_admission,first_episode_only
S25,hes_apc,diag,icd10,injury of blood vessels of thorax,injuries,injuries,emergency_admission,first_episode_only
S26,hes_apc,diag,icd10,injury of heart,injuries,injuries,emergency_admission,first_episode_only
S27,hes_apc,diag,icd10,injury of other and unspecified intrathoracic organs,injuries,injuries,emergency_admission,first_episode_only
S28,hes_apc,diag,icd10,crushing injury of thorax and traumatic amputation of part of thorax,injuries,injuries,emergency_admission,first_episode_only
S29,hes_apc,diag,icd10,other and unspecified injuries of thorax,injuries,injuries,emergency_admission,first_episode_only
S30,hes_apc,diag,icd10,superficial injury of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S31,hes_apc,diag,icd10,open wound of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S32,hes_apc,diag,icd10,fracture of lumbar spine and pelvis,injuries,injuries,emergency_admission,first_episode_only
S33,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of lumbar spine and pelvis,injuries,injuries,emergency_admission,first_episode_only
S34,hes_apc,diag,icd10,injury of nerves and lumbar spinal cord at abdomen lower back and pelvis level,injuries,injuries,emergency_admission,first_episode_only
S35,hes_apc,diag,icd10,injury of blood vessels at abdomen lower back and pelvis level,injuries,injuries,emergency_admission,first_episode_only
S36,hes_apc,diag,icd10,injury of intra-abdominal organs,injuries,injuries,emergency_admission,first_episode_only
S37,hes_apc,diag,icd10,injury of urinary and pelvic organs,injuries,injuries,emergency_admission,first_episode_only
S38,hes_apc,diag,icd10,crushing injury and traumatic amputation of part of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S39,hes_apc,diag,icd10,other and unspecified injuries of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S40,hes_apc,diag,icd10,superficial injury of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S41,hes_apc,diag,icd10,open wound of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S42,hes_apc,diag,icd10,fracture of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S43,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of shoulder girdle,injuries,injuries,emergency_admission,first_episode_only
S44,hes_apc,diag,icd10,injury of nerves at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S45,hes_apc,diag,icd10,injury of blood vessels at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S46,hes_apc,diag,icd10,injury of muscle and tendon at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S47,hes_apc,diag,icd10,crushing injury of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S48,hes_apc,diag,icd10,traumatic amputation of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S49,hes_apc,diag,icd10,other and unspecified injuries of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S50,hes_apc,diag,icd10,superficial injury of forearm,injuries,injuries,emergency_admission,first_episode_only
S51,hes_apc,diag,icd10,open wound of forearm,injuries,injuries,emergency_admission,first_episode_only
S52,hes_apc,diag,icd10,fracture of forearm,injuries,injuries,emergency_admission,first_episode_only
S53,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of elbow,injuries,injuries,emergency_admission,first_episode_only
S54,hes_apc,diag,icd10,injury of nerves at forearm level,injuries,injuries,emergency_admission,first_episode_only
S55,hes_apc,diag,icd10,injury of blood vessels at forearm level,injuries,injuries,emergency_admission,first_episode_only
S56,hes_apc,diag,icd10,injury of muscle and tendon at forearm level,injuries,injuries,emergency_admission,first_episode_only
S57,hes_apc,diag,icd10,crushing injury of forearm,injuries,injuries,emergency_admission,first_episode_only
S58,hes_apc,diag,icd10,traumatic amputation of forearm,injuries,injuries,emergency_admission,first_episode_only
S59,hes_apc,diag,icd10,other and unspecified injuries of forearm,injuries,injuries,emergency_admission,first_episode_only
S60,hes_apc,diag,icd10,superficial injury of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
S61,hes_apc,diag,icd10,open wound of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
S62,hes_apc,diag,icd10,fracture at wrist and hand level,injuries,injuries,emergency_admission,first_episode_only
S63,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments at wrist and hand level,injuries,injuries,emergency_admission,first_episode_only
S64,hes_apc,diag,icd10,injury of nerves at wrist and hand level,injuries,injuries,emergency_admission,first_episode_only
S65,hes_apc,diag,icd10,injury of blood vessels at wrist and hand level,injuries,injuries,emergency_admission,first_episode_only
S66,hes_apc,diag,icd10,injury of muscle and tendon at wrist and hand level,injuries,injuries,emergency_admission,first_episode_only
S67,hes_apc,diag,icd10,crushing injury of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
S68,hes_apc,diag,icd10,traumatic amputation of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
S69,hes_apc,diag,icd10,other and unspecified injuries of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
S70,hes_apc,diag,icd10,superficial injury of hip and thigh,injuries,injuries,emergency_admission,first_episode_only
S71,hes_apc,diag,icd10,open wound of hip and thigh,injuries,injuries,emergency_admission,first_episode_only
S72,hes_apc,diag,icd10,fracture of femur,injuries,injuries,emergency_admission,first_episode_only
S73,hes_apc,diag,icd10,dislocation sprain and strain of joint and ligaments of hip,injuries,injuries,emergency_admission,first_episode_only
S74,hes_apc,diag,icd10,injury of nerves at hip and thigh level,injuries,injuries,emergency_admission,first_episode_only
S75,hes_apc,diag,icd10,injury of blood vessels at hip and thigh level,injuries,injuries,emergency_admission,first_episode_only
S76,hes_apc,diag,icd10,injury of muscle and tendon at hip and thigh level,injuries,injuries,emergency_admission,first_episode_only
S77,hes_apc,diag,icd10,crushing injury of hip and thigh,injuries,injuries,emergency_admission,first_episode_only
S78,hes_apc,diag,icd10,traumatic amputation of hip and thigh,injuries,injuries,emergency_admission,first_episode_only
S79,hes_apc,diag,icd10,other and unspecified injuries of hip and thigh,injuries,injuries,emergency_admission,first_episode_only
S80,hes_apc,diag,icd10,superficial injury of lower leg,injuries,injuries,emergency_admission,first_episode_only
S81,hes_apc,diag,icd10,open wound of lower leg,injuries,injuries,emergency_admission,first_episode_only
S82,hes_apc,diag,icd10,fracture of lower leg including ankle,injuries,injuries,emergency_admission,first_episode_only
S83,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of knee,injuries,injuries,emergency_admission,first_episode_only
S84,hes_apc,diag,icd10,injury of nerves at lower leg level,injuries,injuries,emergency_admission,first_episode_only
S85,hes_apc,diag,icd10,injury of blood vessels at lower leg level,injuries,injuries,emergency_admission,first_episode_only
S86,hes_apc,diag,icd10,injury of muscle and tendon at lower leg level,injuries,injuries,emergency_admission,first_episode_only
S87,hes_apc,diag,icd10,crushing injury of lower leg,injuries,injuries,emergency_admission,first_episode_only
S88,hes_apc,diag,icd10,traumatic amputation of lower leg,injuries,injuries,emergency_admission,first_episode_only
S89,hes_apc,diag,icd10,other and unspecified injuries of lower leg,injuries,injuries,emergency_admission,first_episode_only
S90,hes_apc,diag,icd10,superficial injury of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
S91,hes_apc,diag,icd10,open wound of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
S92,hes_apc,diag,icd10,fracture of foot except ankle,injuries,injuries,emergency_admission,first_episode_only
S93,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments at ankle and foot level,injuries,injuries,emergency_admission,first_episode_only
S94,hes_apc,diag,icd10,injury of nerves at ankle and foot level,injuries,injuries,emergency_admission,first_episode_only
S95,hes_apc,diag,icd10,injury of blood vessels at ankle and foot level,injuries,injuries,emergency_admission,first_episode_only
S96,hes_apc,diag,icd10,injury of muscle and tendon at ankle and foot level,injuries,injuries,emergency_admission,first_episode_only
S97,hes_apc,diag,icd10,crushing injury of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
S98,hes_apc,diag,icd10,traumatic amputation of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
S99,hes_apc,diag,icd10,other and unspecified injuries of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
T00,hes_apc,diag,icd10,superficial injuries involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T01,hes_apc,diag,icd10,open wounds involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T02,hes_apc,diag,icd10,fractures involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T03,hes_apc,diag,icd10,dislocations sprains and strains involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T04,hes_apc,diag,icd10,crushing injuries involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T05,hes_apc,diag,icd10,traumatic amputations involving multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T06,hes_apc,diag,icd10,other injuries involving multiple body regions not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T07,hes_apc,diag,icd10,unspecified multiple injuries,injuries,injuries,emergency_admission,first_episode_only
T08,hes_apc,diag,icd10,fracture of spine level unspecified,injuries,injuries,emergency_admission,first_episode_only
T09,hes_apc,diag,icd10,other injuries of spine and trunk level unspecified,injuries,injuries,emergency_admission,first_episode_only
T10,hes_apc,diag,icd10,fracture of upper limb level unspecified,injuries,injuries,emergency_admission,first_episode_only
T11,hes_apc,diag,icd10,other injuries of upper limb level unspecified,injuries,injuries,emergency_admission,first_episode_only
T12,hes_apc,diag,icd10,fracture of lower limb level unspecified,injuries,injuries,emergency_admission,first_episode_only
T13,hes_apc,diag,icd10,other injuries of lower limb level unspecified,injuries,injuries,emergency_admission,first_episode_only
T14,hes_apc,diag,icd10,injury of unspecified body region,injuries,injuries,emergency_admission,first_episode_only
T15,hes_apc,diag,icd10,foreign body on external eye,injuries,injuries,emergency_admission,first_episode_only
T16,hes_apc,diag,icd10,foreign body in ear,injuries,injuries,emergency_admission,first_episode_only
T17,hes_apc,diag,icd10,foreign body in respiratory tract,injuries,injuries,emergency_admission,first_episode_only
T18,hes_apc,diag,icd10,foreign body in alimentary tract,injuries,injuries,emergency_admission,first_episode_only
T19,hes_apc,diag,icd10,foreign body in genitourinary tract,injuries,injuries,emergency_admission,first_episode_only
T20,hes_apc,diag,icd10,burn and corrosion of head and neck,injuries,injuries,emergency_admission,first_episode_only
T21,hes_apc,diag,icd10,burn and corrosion of trunk,injuries,injuries,emergency_admission,first_episode_only
T22,hes_apc,diag,icd10,burn and corrosion of shoulder and upper limb except wrist and hand,injuries,injuries,emergency_admission,first_episode_only
T23,hes_apc,diag,icd10,burn and corrosion of wrist and hand,injuries,injuries,emergency_admission,first_episode_only
T24,hes_apc,diag,icd10,burn and corrosion of hip and lower limb except ankle and foot,injuries,injuries,emergency_admission,first_episode_only
T25,hes_apc,diag,icd10,burn and corrosion of ankle and foot,injuries,injuries,emergency_admission,first_episode_only
T26,hes_apc,diag,icd10,burn and corrosion confined to eye and adnexa,injuries,injuries,emergency_admission,first_episode_only
T27,hes_apc,diag,icd10,burn and corrosion of respiratory tract,injuries,injuries,emergency_admission,first_episode_only
T28,hes_apc,diag,icd10,burn and corrosion of other internal organs,injuries,injuries,emergency_admission,first_episode_only
T29,hes_apc,diag,icd10,burns and corrosions of multiple body regions,injuries,injuries,emergency_admission,first_episode_only
T30,hes_apc,diag,icd10,burn and corrosion body region unspecified,injuries,injuries,emergency_admission,first_episode_only
T31,hes_apc,diag,icd10,burns classified according to extent of body surface involved,injuries,injuries,emergency_admission,first_episode_only
T32,hes_apc,diag,icd10,corrosions classified according to extent of body surface involved,injuries,injuries,emergency_admission,first_episode_only
T33,hes_apc,diag,icd10,superficial frostbite,injuries,injuries,emergency_admission,first_episode_only
T34,hes_apc,diag,icd10,frostbite with tissue necrosis,injuries,injuries,emergency_admission,first_episode_only
T35,hes_apc,diag,icd10,frostbite involving multiple body regions and unspecified frostbite,injuries,injuries,emergency_admission,first_episode_only
T36,hes_apc,diag,icd10,poisoning by systemic antibiotics,injuries,injuries,emergency_admission,first_episode_only
T37,hes_apc,diag,icd10,poisoning by other systemic anti-infectives and antiparasitics,injuries,injuries,emergency_admission,first_episode_only
T38,hes_apc,diag,icd10,poisoning by hormones and their synthetic substitutes and antagonists not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T39,hes_apc,diag,icd10,poisoning by nonopioid analgesics antipyretics and antirheumatics,injuries,injuries,emergency_admission,first_episode_only
T40,hes_apc,diag,icd10,poisoning by narcotics and psychodysleptics [hallucinogens],injuries,injuries,emergency_admission,first_episode_only
T41,hes_apc,diag,icd10,poisoning by anaesthetics and therapeutic gases,injuries,injuries,emergency_admission,first_episode_only
T42,hes_apc,diag,icd10,poisoning by antiepileptic sedative-hypnotic and antiparkinsonism drugs,injuries,injuries,emergency_admission,first_episode_only
T43,hes_apc,diag,icd10,poisoning by psychotropic drugs not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T44,hes_apc,diag,icd10,poisoning by drugs primarily affecting the autonomic nervous system,injuries,injuries,emergency_admission,first_episode_only
T45,hes_apc,diag,icd10,poisoning by primarily systemic and haematological agents not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T46,hes_apc,diag,icd10,poisoning by agents primarily affecting the cardiovascular system,injuries,injuries,emergency_admission,first_episode_only
T47,hes_apc,diag,icd10,poisoning by agents primarily affecting the gastrointestinal system,injuries,injuries,emergency_admission,first_episode_only
T48,hes_apc,diag,icd10,poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,injuries,injuries,emergency_admission,first_episode_only
T49,hes_apc,diag,icd10,poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological otorhinolaryngological and dental drugs,injuries,injuries,emergency_admission,first_episode_only
T50,hes_apc,diag,icd10,poisoning by diuretics and other and unspecified drugs medicaments and biological substances,injuries,injuries,emergency_admission,first_episode_only
T51,hes_apc,diag,icd10,toxic effect of alcohol,injuries,injuries,emergency_admission,first_episode_only
T52,hes_apc,diag,icd10,toxic effect of organic solvents,injuries,injuries,emergency_admission,first_episode_only
T53,hes_apc,diag,icd10,toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,injuries,injuries,emergency_admission,first_episode_only
T54,hes_apc,diag,icd10,toxic effect of corrosive substances,injuries,injuries,emergency_admission,first_episode_only
T55,hes_apc,diag,icd10,toxic effect of soaps and detergents,injuries,injuries,emergency_admission,first_episode_only
T56,hes_apc,diag,icd10,toxic effect of metals,injuries,injuries,emergency_admission,first_episode_only
T57,hes_apc,diag,icd10,toxic effect of other inorganic substances,injuries,injuries,emergency_admission,first_episode_only
T58,hes_apc,diag,icd10,toxic effect of carbon monoxide,injuries,injuries,emergency_admission,first_episode_only
T59,hes_apc,diag,icd10,toxic effect of other gases fumes and vapours,injuries,injuries,emergency_admission,first_episode_only
T60,hes_apc,diag,icd10,toxic effect of pesticides,injuries,injuries,emergency_admission,first_episode_only
T61,hes_apc,diag,icd10,toxic effect of noxious substances eaten as seafood,injuries,injuries,emergency_admission,first_episode_only
T62,hes_apc,diag,icd10,toxic effect of other noxious substances eaten as food,injuries,injuries,emergency_admission,first_episode_only
T63,hes_apc,diag,icd10,toxic effect of contact with venomous animals,injuries,injuries,emergency_admission,first_episode_only
T64,hes_apc,diag,icd10,toxic effect of aflatoxin and other mycotoxin food contaminants,injuries,injuries,emergency_admission,first_episode_only
T65,hes_apc,diag,icd10,toxic effect of other and unspecified substances,injuries,injuries,emergency_admission,first_episode_only
T66,hes_apc,diag,icd10,unspecified effects of radiation,injuries,injuries,emergency_admission,first_episode_only
T67,hes_apc,diag,icd10,effects of heat and light,injuries,injuries,emergency_admission,first_episode_only
T68,hes_apc,diag,icd10,hypothermia,injuries,injuries,emergency_admission,first_episode_only
T69,hes_apc,diag,icd10,other effects of reduced temperature,injuries,injuries,emergency_admission,first_episode_only
T70,hes_apc,diag,icd10,effects of air pressure and water pressure,injuries,injuries,emergency_admission,first_episode_only
T71,hes_apc,diag,icd10,asphyxiation,injuries,injuries,emergency_admission,first_episode_only
T73,hes_apc,diag,icd10,effects of other deprivation,injuries,injuries,emergency_admission,first_episode_only
T74,hes_apc,diag,icd10,maltreatment syndromes,injuries,injuries,emergency_admission,first_episode_only
T75,hes_apc,diag,icd10,effects of other external causes,injuries,injuries,emergency_admission,first_episode_only
T78,hes_apc,diag,icd10,adverse effects not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T79,hes_apc,diag,icd10,certain early complications of trauma not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T80,hes_apc,diag,icd10,complications following infusion transfusion and therapeutic injection,injuries,injuries,emergency_admission,first_episode_only
T81,hes_apc,diag,icd10,complications of procedures not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T82,hes_apc,diag,icd10,complications of cardiac and vascular prosthetic devices implants and grafts,injuries,injuries,emergency_admission,first_episode_only
T83,hes_apc,diag,icd10,complications of genitourinary prosthetic devices implants and grafts,injuries,injuries,emergency_admission,first_episode_only
T84,hes_apc,diag,icd10,complications of internal orthopaedic prosthetic devices implants and grafts,injuries,injuries,emergency_admission,first_episode_only
T85,hes_apc,diag,icd10,complications of other internal prosthetic devices implants and grafts,injuries,injuries,emergency_admission,first_episode_only
T86,hes_apc,diag,icd10,failure and rejection of transplanted organs and tissues,injuries,injuries,emergency_admission,first_episode_only
T87,hes_apc,diag,icd10,complications peculiar to reattachment and amputation,injuries,injuries,emergency_admission,first_episode_only
T88,hes_apc,diag,icd10,other complications of surgical and medical care not elsewhere classified,injuries,injuries,emergency_admission,first_episode_only
T90,hes_apc,diag,icd10,sequelae of injuries of head,injuries,injuries,emergency_admission,first_episode_only
T91,hes_apc,diag,icd10,sequelae of injuries of neck and trunk,injuries,injuries,emergency_admission,first_episode_only
T92,hes_apc,diag,icd10,sequelae of injuries of upper limb,injuries,injuries,emergency_admission,first_episode_only
T93,hes_apc,diag,icd10,sequelae of injuries of lower limb,injuries,injuries,emergency_admission,first_episode_only
T94,hes_apc,diag,icd10,sequelae of injuries involving multiple and unspecified body regions,injuries,injuries,emergency_admission,first_episode_only
T95,hes_apc,diag,icd10,sequelae of burns corrosions and frostbite,injuries,injuries,emergency_admission,first_episode_only
T96,hes_apc,diag,icd10,sequelae of poisoning by drugs medicaments and biological substances,injuries,injuries,emergency_admission,first_episode_only
T97,hes_apc,diag,icd10,sequelae of toxic effects of substances chiefly nonmedicinal as to source,injuries,injuries,emergency_admission,first_episode_only
T98,hes_apc,diag,icd10,sequelae of other and unspecified effects of external causes,injuries,injuries,emergency_admission,first_episode_only
T74,hes_apc,diag,icd10,maltreatment syndromes,violence,maltreatment,emergency_admission,
